#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
184,1.051911,3.7484,3.4017,1.0053,2.1825,2.4925,1.701
185,1.052276,3.7463,3.3818,1.0168,2.1552,2.4693,1.6697
186,1.052628,3.7443,3.3621,1.0289,2.1263,2.4442,1.6371
187,1.052968,3.7428,3.3427,1.0424,2.094,2.4148,1.6019
188,1.0533,3.7416,3.3236,1.0565,2.0599,2.3831,1.5653
189,1.053627,3.7403,3.3046,1.0707,2.0255,2.3511,1.5287
190,1.053949,3.7392,3.2856,1.0854,1.9899,2.3176,1.4909
191,1.054268,3.7382,3.2669,1.1001,1.9538,2.2835,1.453
192,1.054584,3.7373,3.2484,1.1152,1.9171,2.2485,1.4146
193,1.054898,3.7365,3.23,1.1304,1.88,2.2131,1.3759
194,1.055209,3.7357,3.2118,1.1457,1.8424,2.177,1.3369
195,1.055519,3.735,3.1936,1.1612,1.8045,2.1405,1.2976
196,1.055827,3.7343,3.1754,1.1767,1.7666,2.104,1.2583
197,1.056134,3.7337,3.1573,1.1923,1.7282,2.0669,1.2188
198,1.056439,3.733,3.1392,1.2079,1.6896,2.0296,1.1789
199,1.056742,3.7324,3.121,1.2239,1.6505,1.9918,1.1387
200,1.057037,3.7318,3.1026,1.2401,1.6106,1.953,1.0977
201,1.057328,3.7312,3.0839,1.2566,1.5699,1.9135,1.056
202,1.057615,3.7307,3.065,1.2734,1.5287,1.8734,1.0136
203,1.057895,3.7301,3.0458,1.2904,1.4868,1.8327,0.9705
204,1.058173,3.7296,3.0266,1.3075,1.4445,1.7915,0.9272
205,1.058445,3.7289,3.007,1.3249,1.4018,1.7501,0.8833
206,1.058707,3.7284,2.9869,1.3427,1.3579,1.7075,0.8381
207,1.058961,3.7278,2.9664,1.3609,1.3132,1.6641,0.7922
208,1.059203,3.7271,2.9453,1.3795,1.2675,1.6198,0.7452
209,1.059439,3.7265,2.924,1.3982,1.2213,1.5752,0.6976
210,1.059668,3.7258,2.9024,1.4173,1.1744,1.5296,0.6494
211,1.059889,3.7251,2.8803,1.4366,1.127,1.4838,0.6005
212,1.060103,3.7244,2.8581,1.4561,1.0791,1.4376,0.5512
213,1.060312,3.7236,2.8356,1.4757,1.0308,1.3909,0.5014
214,1.060514,3.7229,2.813,1.4956,0.9822,1.3438,0.4513
215,1.06071,3.7222,2.7901,1.5156,0.9332,1.2964,0.4008
216,1.0609,3.7214,2.7672,1.5357,0.8838,1.2487,0.3499
217,1.060939,3.7213,2.7624,1.5399,0.8738,1.239,0.3395
218,1.060977,3.7211,2.7576,1.544,0.8636,1.2292,0.329
219,1.061015,3.7209,2.7529,1.5481,0.8535,1.2195,0.3186
220,1.061053,3.7208,2.7481,1.5523,0.8433,1.2096,0.3081
221,1.061091,3.7206,2.7433,1.5565,0.833,1.1997,0.2974
222,1.061129,3.7205,2.7384,1.5607,0.8226,1.1897,0.2868
223,1.061166,3.7203,2.7335,1.5649,0.8123,1.1796,0.276
224,1.061203,3.7202,2.7287,1.5692,0.8019,1.1696,0.2653
225,1.061241,3.72,2.7238,1.5735,0.7915,1.1596,0.2546
226,1.061278,3.7199,2.7188,1.5777,0.7811,1.1495,0.2438
227,1.061631,3.7182,2.6697,1.6203,0.6769,1.0492,0.1362
228,1.061953,3.7165,2.6213,1.6622,0.5749,0.951,0.0307
229,1.062245,3.7149,2.5738,1.7032,0.4748,0.8546,-0.0728
