#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
245,2.260994,3.7649,3.5354,1.2897,1.4345,1.7023,0.9902
246,2.261004,3.7653,3.5384,1.2888,1.4341,1.7007,0.9901
247,2.261282,3.7656,3.5325,1.295,1.4137,1.6783,0.9714
248,2.261479,3.7668,3.5461,1.2858,1.4306,1.6912,0.9919
249,2.261829,3.7666,3.5439,1.2882,1.4201,1.6787,0.9822
250,2.262004,3.7674,3.5535,1.2816,1.4346,1.6902,0.9991
251,2.26235,3.7666,3.5337,1.2975,1.3953,1.6525,0.9584
252,2.262666,3.7657,3.5177,1.3101,1.3651,1.6226,0.9263
253,2.262927,3.7653,3.5077,1.3181,1.3455,1.6042,0.9067
254,2.263242,3.7649,3.497,1.3268,1.325,1.5832,0.8856
255,2.263586,3.7639,3.4846,1.3378,1.2981,1.5563,0.859
256,2.26384,3.7639,3.4788,1.3432,1.2841,1.5409,0.8447
257,2.264237,3.7635,3.4554,1.3632,1.2365,1.4937,0.7957
258,2.264481,3.7623,3.4229,1.391,1.169,1.4289,0.7274
259,2.264691,3.7583,3.3394,1.4598,1.0045,1.2731,0.5553
260,2.264905,3.7508,3.168,1.5994,0.6729,0.9622,0.2055
261,2.264971,3.7419,2.9843,1.7474,0.3213,0.6338,-0.1663
262,2.264517,3.7391,2.9332,1.7896,0.2206,0.5391,-0.2709
263,2.26445,3.7407,2.9646,1.7641,0.2826,0.596,-0.2056
264,2.264402,3.7431,3.0118,1.7257,0.3734,0.6795,-0.1095
265,2.264417,3.7452,3.0535,1.6927,0.4512,0.7514,-0.0257
266,2.26438,3.7476,3.0991,1.6562,0.5366,0.8303,0.0656
267,2.264479,3.7492,3.1358,1.6274,0.6042,0.8919,0.1379
268,2.264571,3.7509,3.1689,1.6012,0.6664,0.9477,0.2034
269,2.264671,3.7529,3.2049,1.5717,0.7341,1.0099,0.2762
270,2.264801,3.755,3.2463,1.5388,0.8103,1.0792,0.3579
271,2.264965,3.7571,3.2916,1.5023,0.8953,1.1578,0.4485
