#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
2,0.112828,3.5345,5.3225,-2.7407,12.1904,13.3714,11.1693
3,0.122946,3.5394,5.2783,-2.6398,11.9113,13.0515,10.9053
4,0.136266,3.5452,5.2292,-2.5227,11.5876,12.6828,10.5992
5,0.159854,3.5547,5.1735,-2.3598,11.1318,12.1597,10.1711
6,0.199705,3.5679,5.1216,-2.1585,10.5666,11.5128,9.6426
7,0.258082,3.5799,5.0675,-1.9449,9.9828,10.8651,9.0902
8,0.299858,3.5863,5.0356,-1.8221,9.6513,10.5028,8.7749
9,0.311983,3.5881,5.0231,-1.7856,9.5539,10.3973,8.6818
10,0.317155,3.5887,5.0159,-1.7686,9.5088,10.3488,8.6384
11,0.321469,3.5892,5.0097,-1.7541,9.4708,10.308,8.6018
12,0.324965,3.5897,5.0042,-1.7421,9.439,10.274,8.5713
13,0.328308,3.5901,4.9986,-1.7304,9.4082,10.2412,8.5416
14,0.332214,3.5907,4.9927,-1.7172,9.3737,10.2042,8.5084
15,0.336345,3.5911,4.9869,-1.7041,9.339,10.1676,8.475
16,0.36027,3.5954,4.962,-1.6335,9.1436,9.9495,8.2917
17,0.415019,3.6062,4.9092,-1.4747,8.7118,9.4727,7.8858
18,0.428409,3.6098,4.894,-1.4313,8.5917,9.3379,7.7745
19,0.434462,3.6119,4.8858,-1.4089,8.5281,9.2652,7.7163
20,0.4446,3.6152,4.8735,-1.3735,8.4289,9.1525,7.6252
21,0.45827,3.6199,4.8572,-1.325,8.2927,8.9971,7.5007
22,0.475933,3.627,4.8369,-1.2598,8.1079,8.7838,7.3343
23,0.492491,3.6345,4.819,-1.1972,7.9278,8.5735,7.1742
24,0.506185,3.6412,4.8061,-1.1456,7.7778,8.3965,7.0425
25,0.517352,3.6472,4.7972,-1.1033,7.6523,8.2466,6.9337
26,0.526711,3.6526,4.7909,-1.0677,7.5454,8.1183,6.842
27,0.534671,3.6573,4.7861,-1.0376,7.4549,8.0096,6.7648
28,0.541737,3.6616,4.7825,-1.0108,7.3747,7.9134,6.6966
