#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
12,0.11096,3.5338,5.3279,-2.7564,12.2345,13.4224,11.2107
13,0.122882,3.5396,5.2754,-2.6361,11.901,13.0394,10.8957
14,0.137535,3.5462,5.2221,-2.5077,11.5449,12.6326,10.5595
15,0.155177,3.5535,5.176,-2.3799,11.188,12.2243,10.2238
16,0.17312,3.5605,5.1425,-2.2711,10.8822,11.8729,9.9377
17,0.188622,3.5656,5.1174,-2.188,10.6505,11.61,9.7203
18,0.202388,3.5695,5.0962,-2.1208,10.4654,11.4029,9.5456
19,0.216051,3.5727,5.0764,-2.0597,10.2989,11.2185,9.3878
20,0.22992,3.5756,5.0585,-2.0032,10.1458,11.0497,9.2425
21,0.245186,3.5785,5.0405,-1.9458,9.9908,10.8798,9.0949
22,0.263383,3.5815,5.0221,-1.8839,9.8243,10.6978,8.9363
23,0.280475,3.5842,5.0068,-1.8309,9.6818,10.5422,8.8004
24,0.294949,3.5863,4.9943,-1.788,9.567,10.4174,8.6909
25,0.304813,3.5877,4.9861,-1.76,9.492,10.3359,8.6194
26,0.311691,3.5885,4.9808,-1.7415,9.4425,10.2823,8.5721
27,0.317044,3.5893,4.977,-1.7276,9.4052,10.2418,8.5365
28,0.321173,3.5898,4.9745,-1.7172,9.3773,10.2115,8.51
29,0.324785,3.5903,4.972,-1.7078,9.3522,10.1839,8.486
30,0.328432,3.5908,4.9692,-1.6983,9.3264,10.1559,8.4615
31,0.33288,3.5914,4.9662,-1.6869,9.296,10.1226,8.4327
32,0.338303,3.5922,4.9624,-1.673,9.2585,10.0817,8.3971
33,0.343856,3.5929,4.958,-1.6585,9.2195,10.0394,8.3602
34,0.360771,3.5959,4.9411,-1.6093,9.0841,9.8892,8.2328
35,0.395009,3.6028,4.9039,-1.5045,8.7974,9.5716,7.9638
36,0.417556,3.6086,4.8767,-1.4301,8.593,9.3435,7.7732
37,0.42626,3.6114,4.8639,-1.3972,8.5008,9.2392,7.6883
38,0.436753,3.6149,4.8496,-1.3586,8.3933,9.1178,7.5893
39,0.447114,3.6186,4.8355,-1.3195,8.2841,8.9936,7.4891
40,0.45893,3.6233,4.82,-1.2741,8.1565,8.8475,7.3733
41,0.470813,3.6286,4.8051,-1.2266,8.0212,8.6906,7.2519
42,0.482644,3.6344,4.7908,-1.1781,7.8819,8.5276,7.1283
43,0.493688,3.6403,4.7787,-1.1326,7.7493,8.3712,7.0119
44,0.504,3.6462,4.7684,-1.0898,7.6236,8.2219,6.9027
45,0.512875,3.6516,4.7605,-1.0525,7.5129,8.0896,6.8073
46,0.521406,3.6572,4.7539,-1.0162,7.4044,7.9594,6.7145
47,0.529931,3.6631,4.7477,-0.98,7.2958,7.8297,6.6217
48,0.538711,3.6691,4.7417,-0.9427,7.1849,7.698,6.5265
49,0.547901,3.6754,4.7356,-0.9037,7.0692,7.5615,6.427
50,0.557625,3.6822,4.7291,-0.8628,6.9486,7.4202,6.3228
51,0.567621,3.6891,4.7226,-0.8207,6.8262,7.2775,6.217
52,0.57271,3.6926,4.7193,-0.7994,6.7646,7.2058,6.1638
53,0.57778,3.6962,4.716,-0.7781,6.7039,7.1353,6.1111
54,0.582839,3.6996,4.7126,-0.7571,6.6437,7.0657,6.059
55,0.587889,3.703,4.7089,-0.736,6.5845,6.9974,6.0075
