#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
125,2.250631,4.0968,4.0664,2.086,0.2675,0.203,0.3519
126,2.250709,4.0977,4.0676,2.0867,0.2696,0.2055,0.3539
127,2.250761,4.0974,4.0685,2.0864,0.2718,0.2076,0.3555
128,2.250823,4.0981,4.0692,2.0871,0.2742,0.2103,0.3571
129,2.250903,4.0981,4.0697,2.0863,0.2773,0.2136,0.3594
130,2.250991,4.0986,4.0705,2.086,0.2802,0.2167,0.3619
131,2.251092,4.0987,4.0717,2.0854,0.2837,0.2202,0.3643
132,2.251207,4.0981,4.0728,2.0851,0.2874,0.2231,0.367
133,2.251356,4.0989,4.0741,2.0849,0.2908,0.2279,0.3709
134,2.251558,4.099,4.0757,2.0841,0.2957,0.2324,0.3749
135,2.251749,4.0996,4.078,2.0837,0.3006,0.2366,0.3799
136,2.251929,4.1008,4.083,2.0842,0.3062,0.2425,0.3865
137,2.25213,4.102,4.0888,2.0845,0.3155,0.2509,0.3954
138,2.252343,4.1041,4.0957,2.0855,0.3245,0.2597,0.4055
139,2.252538,4.1054,4.1001,2.0868,0.3311,0.2652,0.4127
140,2.25272,4.108,4.1066,2.0873,0.3403,0.2735,0.4225
141,2.252851,4.11,4.115,2.0888,0.3495,0.282,0.433
142,2.252965,4.1119,4.1222,2.0912,0.3573,0.2888,0.4412
143,2.252882,4.1163,4.1329,2.0962,0.3687,0.2984,0.4551
144,2.252943,4.1277,4.1548,2.121,0.3686,0.2923,0.4617
145,2.25306,4.1423,4.1795,2.1549,0.3632,0.2797,0.4663
146,2.253347,4.1616,4.2204,2.1908,0.3741,0.2811,0.4904
147,2.253621,4.1713,4.2704,2.1804,0.4519,0.3537,0.5753
148,2.25377,4.1698,4.2933,2.151,0.5173,0.4196,0.6398
149,2.253884,4.166,4.3094,2.1206,0.5722,0.476,0.6923
150,2.254022,4.1619,4.3193,2.0928,0.6126,0.5189,0.7319
151,2.254213,4.1535,4.3118,2.0678,0.6288,0.5387,0.7433
152,2.254368,4.1485,4.3023,2.0555,0.6293,0.5427,0.7408
153,2.2545,4.1432,4.2893,2.0489,0.6214,0.5366,0.7287
154,2.254576,4.1405,4.2738,2.0534,0.5961,0.5129,0.7012
155,2.254561,4.1412,4.268,2.0612,0.578,0.4947,0.6838
156,2.254473,4.1426,4.2655,2.0701,0.5614,0.4772,0.6699
157,2.254315,4.1446,4.2627,2.0812,0.542,0.4559,0.6525
158,2.254119,4.1465,4.2578,2.0909,0.5194,0.4332,0.6319
159,2.253911,4.1456,4.2461,2.1012,0.4892,0.4028,0.6023
160,2.253717,4.1438,4.2289,2.1113,0.4511,0.3656,0.5643
161,2.253564,4.1411,4.2065,2.1219,0.4088,0.3242,0.5198
162,2.253147,4.1388,4.1887,2.1306,0.37,0.2861,0.4815
163,2.252826,4.1355,4.1691,2.1379,0.3293,0.2464,0.4409
164,2.252643,4.1326,4.1484,2.1445,0.2881,0.2057,0.3997
165,2.252608,4.1289,4.13,2.15,0.2509,0.1694,0.3635
166,2.252704,4.1266,4.1152,2.1534,0.2195,0.1376,0.3355
167,2.252879,4.1243,4.1052,2.1562,0.1946,0.1111,0.3134
168,2.25312,4.1228,4.0984,2.159,0.1728,0.088,0.2964
169,2.253396,4.1227,4.0948,2.1603,0.1543,0.0688,0.2818
170,2.253706,4.123,4.0928,2.1624,0.1382,0.0493,0.2709
171,2.254038,4.1235,4.0929,2.1641,0.1215,0.0308,0.2614
172,2.254395,4.1239,4.0944,2.1661,0.104,0.0082,0.2534
173,2.254768,4.1251,4.0966,2.168,0.0838,-0.0184,0.247
174,2.255158,4.1264,4.1,2.1698,0.0615,-0.0484,0.2392
175,2.255558,4.1277,4.1029,2.1721,0.0368,-0.0797,0.2281
176,2.255975,4.1293,4.1064,2.1742,0.01,-0.1131,0.2147
177,2.256403,4.1305,4.1097,2.1771,-0.019,-0.1484,0.1982
178,2.256833,4.1321,4.1123,2.1794,-0.0509,-0.1864,0.1807
179,2.257271,4.133,4.1157,2.1826,-0.0839,-0.2275,0.1615
180,2.257696,4.1346,4.118,2.186,-0.1204,-0.2715,0.1401
181,2.258133,4.1357,4.1198,2.1884,-0.1575,-0.3152,0.1143
182,2.258359,4.141,4.1393,2.1907,-0.184,-0.3509,0.1026
183,2.258599,4.1473,4.1605,2.1929,-0.2141,-0.3892,0.0865
184,2.258861,4.1536,4.1828,2.1961,-0.2501,-0.4383,0.0713
185,2.259127,4.1598,4.2057,2.1998,-0.3004,-0.5106,0.0581
186,2.25939,4.1657,4.2234,2.2045,-0.3599,-0.5968,0.0403
187,2.259653,4.1696,4.2341,2.2097,-0.4263,-0.6845,0.0054
188,2.259899,4.1716,4.2331,2.2178,-0.5016,-0.7758,-0.0489
189,2.260157,4.1702,4.2211,2.2266,-0.5835,-0.8707,-0.116
190,2.260435,4.1678,4.1986,2.2377,-0.6722,-0.9686,-0.1956
191,2.260725,4.1629,4.1664,2.2514,-0.7655,-1.0698,-0.2843
192,2.26105,4.1561,4.1239,2.2659,-0.8575,-1.161,-0.3844
193,2.261417,4.1473,4.0728,2.2838,-0.943,-1.2329,-0.5031
194,2.261822,4.1384,4.0151,2.304,-1.0284,-1.3009,-0.6292
195,2.262212,4.1285,3.9548,2.325,-1.1122,-1.3716,-0.744
196,2.26258,4.1184,3.8942,2.3465,-1.1915,-1.4411,-0.8509
197,2.262863,4.1085,3.8332,2.3675,-1.2644,-1.505,-0.9527
198,2.263036,4.0975,3.772,2.3858,-1.3261,-1.5579,-1.0439
199,2.263065,4.0863,3.7176,2.3944,-1.3613,-1.5831,-1.1115
200,2.263038,4.0718,3.6666,2.3865,-1.3527,-1.5605,-1.1409
201,2.263023,4.0528,3.6057,2.3719,-1.3219,-1.507,-1.157
202,2.263043,4.0308,3.5344,2.354,-1.2818,-1.4385,-1.1689
203,2.263084,4.0054,3.4538,2.3361,-1.2392,-1.3641,-1.1814
204,2.263169,3.9799,3.3655,2.319,-1.197,-1.2849,-1.1967
205,2.263283,3.9537,3.2787,2.3015,-1.1531,-1.2036,-1.2093
206,2.263381,3.929,3.1996,2.2826,-1.1028,-1.1161,-1.2119
207,2.263418,3.908,3.1435,2.2545,-1.0306,-1.0131,-1.184
208,2.263453,3.8888,3.1132,2.2094,-0.9138,-0.8647,-1.1076
209,2.263626,3.8697,3.0818,2.1635,-0.7917,-0.7099,-1.0246
210,2.263743,3.8549,3.0588,2.1251,-0.6915,-0.5841,-0.9554
211,2.26374,3.8437,3.0542,2.0857,-0.5876,-0.4614,-0.8746
212,2.263626,3.8346,3.0699,2.035,-0.4581,-0.3165,-0.7643
213,2.263518,3.8264,3.0966,1.9742,-0.3037,-0.1462,-0.6263
214,2.263446,3.8179,3.1271,1.9097,-0.1387,0.0342,-0.4785
215,2.263415,3.8093,3.1572,1.8449,0.029,0.2173,-0.3277
216,2.263435,3.8007,3.1835,1.7823,0.1909,0.3964,-0.1845
217,2.263349,3.7995,3.1938,1.7688,0.2247,0.4321,-0.1521
218,2.263257,3.7984,3.204,1.7553,0.2593,0.4677,-0.1193
219,2.263175,3.7976,3.2142,1.7423,0.2935,0.5032,-0.087
220,2.263093,3.7965,3.224,1.7283,0.3267,0.5384,-0.0556
221,2.263007,3.7958,3.2328,1.7157,0.3599,0.5738,-0.0239
222,2.262925,3.7946,3.2421,1.7028,0.393,0.6084,0.0074
223,2.262848,3.7939,3.2509,1.6898,0.4262,0.6435,0.0377
224,2.262772,3.7927,3.2596,1.6773,0.4583,0.6779,0.068
225,2.262705,3.7915,3.2674,1.6649,0.49,0.7114,0.0964
226,2.262633,3.7908,3.2747,1.6524,0.5207,0.744,0.1261
227,2.262119,3.7809,3.3127,1.5759,0.7205,0.963,0.306
228,2.261113,3.7761,3.371,1.4994,0.9158,1.1665,0.4919
229,2.260221,3.7742,3.4141,1.4468,1.047,1.3022,0.6196
230,2.259771,3.7704,3.4194,1.4262,1.1024,1.3646,0.6672
231,2.25879,3.7699,3.4651,1.3811,1.2151,1.4765,0.7812
232,2.258345,3.7686,3.472,1.3688,1.2475,1.5113,0.8119
233,2.25784,3.7679,3.4897,1.3475,1.3011,1.5661,0.863
234,2.257235,3.7676,3.5118,1.3242,1.3583,1.6228,0.9201
235,2.25676,3.7674,3.5306,1.3042,1.4078,1.6725,0.969
236,2.256557,3.7662,3.5294,1.3006,1.4181,1.6856,0.9768
237,2.256014,3.7669,3.557,1.2739,1.4823,1.7485,1.0415
238,2.256027,3.7658,3.5457,1.2816,1.4639,1.733,1.0216
239,2.255772,3.7661,3.5579,1.2691,1.4914,1.7598,1.0486
240,2.255805,3.7655,3.5494,1.2759,1.4748,1.7447,1.0313
241,2.255645,3.7654,3.5563,1.27,1.4894,1.7584,1.0455
242,2.255753,3.7652,3.5467,1.277,1.4697,1.7399,1.025
243,2.255904,3.7651,3.5346,1.2875,1.4431,1.7133,0.9972
244,2.25593,3.765,3.5332,1.2896,1.4359,1.7056,0.991
245,2.256037,3.7645,3.5256,1.2965,1.4182,1.687,0.973
246,2.25605,3.7648,3.5283,1.2958,1.4174,1.685,0.9724
247,2.256328,3.7651,3.5223,1.3021,1.3967,1.6624,0.9534
248,2.256526,3.7663,3.5355,1.2932,1.413,1.6748,0.9733
249,2.256876,3.7661,3.5331,1.2957,1.4022,1.6619,0.9632
250,2.257052,3.7669,3.5424,1.2893,1.4162,1.673,0.9796
251,2.257397,3.7661,3.5226,1.3053,1.3768,1.6352,0.9388
252,2.257713,3.7652,3.5066,1.3179,1.3465,1.6053,0.9066
253,2.257974,3.7648,3.4965,1.326,1.3267,1.5867,0.8868
254,2.258289,3.7644,3.4857,1.3348,1.306,1.5655,0.8655
255,2.258632,3.7634,3.4732,1.3458,1.279,1.5385,0.8387
256,2.258886,3.7634,3.4673,1.3513,1.2648,1.5229,0.8242
257,2.259282,3.763,3.4439,1.3713,1.2172,1.4758,0.7753
258,2.259526,3.7618,3.4116,1.399,1.15,1.4113,0.7073
259,2.259737,3.7578,3.3287,1.4672,0.9868,1.2567,0.5365
260,2.259951,3.7504,3.1589,1.6056,0.6582,0.9485,0.1898
261,2.260019,3.7416,2.9768,1.7523,0.3097,0.6231,-0.1787
262,2.259572,3.7388,2.926,1.7942,0.2097,0.529,-0.2826
263,2.259508,3.7403,2.9569,1.7691,0.2707,0.585,-0.2183
264,2.259463,3.7427,3.0035,1.7312,0.3602,0.6673,-0.1236
265,2.25948,3.7448,3.0446,1.6987,0.4369,0.7382,-0.041
266,2.259446,3.7472,3.0896,1.6627,0.5211,0.816,0.0491
267,2.259546,3.7487,3.1257,1.6343,0.5877,0.8766,0.1203
268,2.259639,3.7504,3.1583,1.6085,0.6489,0.9315,0.1848
269,2.25974,3.7524,3.1938,1.5795,0.7156,0.9928,0.2565
270,2.259871,3.7545,3.2346,1.547,0.7907,1.0611,0.337
271,2.260035,3.7565,3.2793,1.511,0.8745,1.1386,0.4264
