#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
2,0.146506,3.5518,5.1634,-2.3764,11.1777,12.2,10.2135
3,0.158813,3.5567,5.1213,-2.2823,10.9217,11.9175,9.9693
4,0.182976,3.5657,5.0578,-2.1134,10.4558,11.3936,9.5286
5,0.242359,3.5878,4.9809,-1.7932,9.5456,10.3388,8.6814
6,0.338917,3.6136,4.942,-1.4594,8.6046,9.2689,7.8077
7,0.465053,3.622,4.8771,-1.1911,7.9229,8.5798,7.1404
8,0.463057,3.6111,4.915,-1.3447,8.3621,9.0923,7.5491
9,0.37697,3.5975,4.9684,-1.6013,9.06,9.8605,8.2109
10,0.349627,3.593,4.986,-1.6768,9.2633,10.0835,8.404
11,0.346536,3.5921,4.9867,-1.6835,9.284,10.1053,8.4225
12,0.348102,3.5926,4.9837,-1.6787,9.2694,10.0904,8.4093
13,0.351179,3.593,4.9788,-1.6681,9.2419,10.0612,8.3828
14,0.358206,3.5943,4.97,-1.6466,9.1854,10.0004,8.3288
15,0.365505,3.5943,4.9628,-1.6271,9.1327,9.9462,8.2781
16,0.461941,3.6127,4.868,-1.3469,8.352,9.0686,7.5479
17,0.694026,3.6598,4.6489,-0.6759,6.523,7.0431,5.832
18,0.659201,3.6584,4.6776,-0.761,6.7622,7.3086,6.0602
19,0.474613,3.6245,4.8394,-1.2721,8.1411,8.8246,7.3617
20,0.483178,3.6292,4.8274,-1.236,8.0383,8.7047,7.2688
21,0.523801,3.6422,4.7838,-1.0986,7.6548,8.2681,6.9179
22,0.562913,3.6605,4.7419,-0.948,7.2234,7.7636,6.5362
23,0.582383,3.6737,4.7265,-0.8664,6.9774,7.4647,6.3278
24,0.58217,3.6776,4.7391,-0.8666,6.9656,7.4378,6.329
25,0.578808,3.6792,4.7533,-0.8787,6.9859,7.4499,6.3566
26,0.577266,3.681,4.7625,-0.8834,6.9903,7.4494,6.3668
27,0.577666,3.6821,4.7667,-0.8832,6.9873,7.4451,6.3674
28,0.57926,3.6839,4.7695,-0.8776,6.9729,7.4288,6.3568
29,0.587813,3.6894,4.7674,-0.8467,6.8845,7.3253,6.2808
30,0.609161,3.7022,4.7584,-0.7713,6.6615,7.0655,6.0876
31,0.646167,3.7253,4.7451,-0.6388,6.2709,6.6079,5.7511
32,0.698161,3.7569,4.7288,-0.4578,5.7541,6.0083,5.3063
33,0.76164,3.7904,4.7002,-0.2534,5.2042,5.3901,4.8212
34,0.838448,3.8281,4.6619,-0.0137,4.5965,4.7298,4.2688
35,1.785522,4.1641,4.0285,2.4838,-1.5729,-2.0133,-1.2627
36,1.498,4.0362,4.1955,1.6262,0.6624,0.4832,0.7233
37,1.084052,3.8705,4.4682,0.4486,3.6052,3.7226,3.3542
38,1.143175,3.8892,4.4386,0.579,3.287,3.3781,3.0731
39,1.182567,3.9001,4.4262,0.6528,3.1081,3.1842,2.9167
40,1.217883,3.9105,4.4176,0.7172,2.9515,3.0163,2.7821
41,1.264729,3.9247,4.4058,0.8043,2.7381,2.7859,2.5989
42,1.334161,3.9467,4.3871,0.9376,2.4092,2.4305,2.3156
43,1.394171,3.9672,4.3807,1.0486,2.14,2.1365,2.0911
44,1.437606,3.9844,4.3917,1.1222,1.9637,1.9401,1.9528
45,1.462404,3.9983,4.4178,1.1564,1.8877,1.8478,1.9105
46,1.419057,3.9924,4.4637,1.0726,2.0958,2.0645,2.1118
47,1.431987,4.0024,4.4959,1.0837,2.0801,2.0371,2.1184
48,1.445187,4.0116,4.5231,1.0972,2.0567,2.0053,2.1152
49,1.458432,4.0197,4.5431,1.1115,2.0291,1.9701,2.1048
50,1.488927,4.0307,4.5487,1.1592,1.9238,1.8516,2.0233
51,1.527607,4.0432,4.5529,1.2173,1.8002,1.7138,1.9265
52,1.538513,4.0471,4.5583,1.2305,1.7798,1.6899,1.9149
53,1.548479,4.0501,4.5617,1.2422,1.7671,1.6738,1.91
54,1.557559,4.0532,4.564,1.2524,1.7599,1.664,1.9091
55,1.566088,4.0549,4.565,1.2615,1.7565,1.659,1.9115
56,1.574468,4.0569,4.5649,1.2707,1.7556,1.6563,1.9148
57,1.583221,4.0586,4.5652,1.2809,1.7543,1.6538,1.918
58,1.592546,4.0606,4.565,1.2916,1.7524,1.6506,1.9194
59,1.602172,4.0629,4.564,1.3028,1.75,1.6477,1.9204
60,1.611766,4.0652,4.5628,1.3138,1.7476,1.6451,1.9195
61,1.621029,4.0664,4.5621,1.3247,1.7454,1.6432,1.9182
62,1.628529,4.0678,4.5613,1.3328,1.7472,1.6467,1.9182
63,1.634402,4.0689,4.5604,1.3388,1.7528,1.6547,1.9205
64,1.639567,4.0696,4.5594,1.3436,1.7583,1.6617,1.9212
65,1.645737,4.071,4.5585,1.3504,1.7593,1.6648,1.9194
66,1.655614,4.0729,4.5567,1.362,1.7492,1.6552,1.9073
67,1.776816,4.1023,4.5255,1.5517,1.3867,1.2693,1.5899
68,1.772238,4.0999,4.5212,1.5425,1.4133,1.3016,1.6069
69,1.772118,4.0983,4.5177,1.5396,1.4294,1.3214,1.6147
70,1.938186,4.129,4.4332,1.7932,0.9338,0.8068,1.1528
71,1.979663,4.1361,4.4139,1.8521,0.8287,0.6997,1.0505
72,2.274592,4.2176,4.3426,2.3395,-0.021,-0.2014,0.2876
73,2.256636,4.2063,4.3246,2.3068,0.0261,-0.1444,0.3154
74,2.265303,4.2037,4.3052,2.3165,0.0051,-0.1605,0.2848
75,2.294999,4.206,4.2842,2.3533,-0.0626,-0.2258,0.2122
